,OXO-5FI635C Augusta,OXO-5FI661A Augusta,OXO-5FIC132 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC602 Augusta,OXO-5FIC603 Augusta,OXO-5FIC606C Augusta,OXO-5FIC607 Augusta,OXO-5FIC609A Augusta,OXO-5FIC609B Augusta,OXO-5FIC611A Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5FIC618A Augusta,OXO-5FIC618B Augusta,OXO-5FIC618C Augusta,OXO-5FIC618D Augusta,OXO-5FIC622A Augusta,OXO-5FIC622B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636A Augusta,OXO-5FIC636B Augusta,OXO-5FIC636C Augusta,OXO-5FQI691B Augusta,OXO-5LI633B Augusta,OXO-5LI650F Augusta,OXO-5LI651E Augusta,OXO-5LI651F Augusta,OXO-5LI652E Augusta,OXO-5LI652F Augusta,OXO-5LI653E Augusta,OXO-5LI653F Augusta,OXO-5LI654E Augusta,OXO-5LI655F Augusta,OXO-5LI656F Augusta,OXO-5LI657E Augusta,OXO-5LI657F Augusta,OXO-5LI658E Augusta,OXO-5LI658F Augusta,OXO-5PIC605A Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC002 Augusta,OXO-5TIC601 Augusta,OXO-5TIC602 Augusta,OXO-5TIC603 Augusta,OXO-5TIC604 Augusta,OXO-5TIC605 Augusta,OXO-5TIC606 Augusta,OXO-5TIC607 Augusta,OXO-5TIC659 Augusta,OXO-_5FI658A Augusta,OXO-_5FI659A Augusta,OXO-_5FI660A Augusta,OXO-_5FI662A Augusta,OXO-5FI696 Augusta
OXO-5FIC609B Augusta,0.20645914154909129,0.5205322415309972,0.4387805824616753,0.4218085270566383,0.48707873372801114,0.34072785822855467,0.0,0.1683213390195415,0.0,0.0,3.3440441843062882,0.2367936941820683,0.006013502200930443,0.765839692610808,0.5968768902041313,0.8942492008513443,0.7820118204981616,0.21752405960754917,0.03251716751707079,0.6152310475487099,0.44069292043583896,0.07486982332767633,0.11772091153251152,0.8629716111081649,0.8600801112031808,0.4766517783968496,0.0,1.0228642088678965,0.3529843725201811,0.04415243609076658,0.0,1.1596980478131056,1.1977802423552362,0.697815079930602,0.7103909781762554,1.0490208863994233,0.4018110287044516,0.3636048283116988,0.3217420996040916,0.6147592919347855,0.05542783611631963,0.8299792316805492,0.0,0.42742594977637616,0.8468744031513067,0.5673296534427794,0.6100394207874338,0.36073591192094856,0.509482830004715,0.6057609093303009,0.0,0.5370542672776821,0.536289133376715,0.5228690127823961,0.4011937115834998,0.7279297731220757
OXO-5FIC611A Augusta,0.03278880521147398,0.07960681837559047,0.13095984430607466,0.3030130912727427,0.17198843696586952,0.08283208093490524,0.0,0.9277724455886052,0.0,0.0,0.2367936941820683,3.344044184306288,0.5738564006969495,0.048954260501961055,0.2205719444001275,0.275892984982272,0.2813871260562295,0.1346880302447544,0.2380796898319657,0.21725159572060004,0.14884857921985484,0.10071792892769782,0.12925006485495105,0.31687506797750764,0.24626313705361547,0.13952096647653311,0.0,0.2163451593223118,0.882081292376347,0.14843490449073116,0.0,0.4502260155049891,0.42508355910842566,0.21019056229356137,0.5371361084353068,0.29868160040448233,0.22914905256315343,0.8275454788793861,0.6988753009073214,0.687529473043877,0.0028594939287751586,0.13403840669123301,0.0,0.033663584923738554,0.3555784463369842,0.13245469793457998,0.17922239690301023,0.09979306854853087,0.1035976879856344,0.30653779570363104,0.0348837039250407,0.08810339981416782,0.15548244831889368,0.09843249375389673,0.09211987038391811,0.19454262071861894
OXO-5FIC612A Augusta,0.0,0.12009113477293987,0.21310487180173565,0.09027054079973018,0.1097563814944178,0.05451948177293531,0.00547334247679121,0.41924996649147994,0.0047120319031837,0.04424136339708706,0.0,0.5685428067090705,2.4901012527086377,0.2167208005132486,0.2375643247933903,0.0,0.11856517101710873,0.0,0.21950662189258852,0.14156569654119133,0.08091565451032556,0.2845585426630315,0.23803712816423506,0.27482427191768766,0.16654897411400116,0.1048727665936906,0.025063462663392322,0.23892829593349774,0.4442851411912647,0.07543155410314517,0.011853318233940868,0.32426991093940405,0.2840618145175666,0.26265814953326627,0.166454731097899,0.21898058218743088,0.1353874563687909,0.12014543330867866,0.3699622647959626,0.21092793902860985,0.0,0.062144241917391874,0.0,0.029109404341871148,0.397163451333856,0.13356159915502763,0.23420710674608047,0.10768930254140185,0.04726749614355841,0.15843773075822165,0.036368687881345174,0.035473119584906065,0.1669315916534302,0.1082348715635959,0.14753049340806612,0.13790913799364724
OXO-5FIC612B Augusta,0.48898253519271107,0.8321749501708193,0.6546623582665525,0.5233625703959857,0.7626538359187749,0.7234226219582749,0.0,0.11108546078918824,0.0,0.0,0.765839692610808,0.048954260501961055,0.232034704299235,3.344044184306288,0.7589017649482264,0.8635049248402824,0.8568351987590872,0.0,0.10317939967988465,0.9208109517881149,0.6324366250211557,0.29236291190831265,0.18821643539827626,0.9155518142827574,1.2184786023894896,0.6202572407685705,0.013391544271532219,1.1500630006788057,0.15544439773057217,0.019445659028562545,0.0,1.2563990163097862,1.2424274254116634,1.1347169188983877,0.749717615954294,1.1550999413640746,0.5532577727387662,0.32676216663778535,0.28575180622961405,0.5830249504100289,0.0835275358889116,1.4764469434289609,0.07850148474764129,0.6797625475982718,0.847833764420336,0.6562598203136187,0.8856791834933597,0.5145627419367345,0.7505303423691321,0.7176565283876439,0.028129638265978585,0.8624122668263756,0.7763087556345842,0.8734369075333932,0.7796521974203126,0.8275131305819077
OXO-5FIC618A Augusta,0.16271718989399053,0.5641734730713073,0.6093220671861861,0.45295194838991515,0.25199769985443865,0.7090483857531815,0.0,0.17711601795650855,0.0,0.0,0.5968768902041313,0.2205719444001275,0.2073146572172977,0.7589017649482264,3.3440441843062887,1.169170944200344,1.26270715346809,0.015055103085482191,0.20435038943161876,0.7550399106701442,0.34194330839381726,0.20316448301305146,0.13841705084970135,0.9511283465198721,0.8993909315387345,0.2583856648437681,0.012893114520962534,0.8364769432391264,0.2129355459719724,0.0,0.0,1.0246624221933267,1.1289937557889869,0.8674243710492457,0.5424146430327217,0.8581574250233266,0.3858022148086766,0.23098199384601248,0.3944157022554333,0.6354811935407922,0.019545844180864247,0.6092059314547482,0.014442476154504558,0.1979611634720566,0.5715575749653343,0.42535518038726705,0.5485999912188206,0.2878221502773872,0.36524437483090777,0.5214838641293698,0.0,0.4106284780266627,0.4612280277845522,0.5058594984061049,0.4536282571647985,0.786673725837657
OXO-5FIC618B Augusta,0.5126410409686764,0.6035944894307028,0.5392316710063967,0.4777091351279421,0.5437235143837023,0.6354590903109281,0.0,0.3368028598006698,0.0,0.0,0.8942492008513443,0.275892984982272,0.00018592071266487764,0.8635049248402824,1.169170944200344,3.344044184306288,1.3615728953020798,0.2362536837745144,0.07384813947705693,0.7390140919540791,0.7025410653382131,0.2151653396108859,0.24160722882118524,1.1114021247974946,1.2013132903153778,0.3803917221594997,0.010841996329324033,0.9832214188756585,0.39972749900540316,0.026953669558740234,0.0,1.267410281118103,1.3058294373892994,1.1724984843840716,1.0577991254979702,1.0550740706267292,0.5222081471461344,0.3824372384172503,0.24355466457504527,0.6431165889617851,0.0,0.8499062488535136,0.0,0.5817996950093298,1.0427061235295838,0.7542619844018872,0.7678806331903876,0.5331218938535507,0.5536327114785826,0.7527162016976678,0.02148593834003165,0.5342174926986609,0.5649856541868625,0.47762314075501555,0.5530511142237584,1.0889993102150628
OXO-5FIC618C Augusta,0.48578162498192157,0.6043902657477802,0.4297960556795406,0.446210841407916,0.5762062706939797,0.9267691745155702,0.0,0.29380370783890486,0.0,0.0,0.7820118204981616,0.2813871260562295,0.1246289965627656,0.8568351987590872,1.26270715346809,1.3615728953020798,3.3440441843062882,0.20910479969560614,0.09913330090216599,0.8612358692952569,0.794588678990563,0.15157330702485394,0.1242561452642601,1.1236008654415546,1.2219449779827412,0.5090853419893668,0.03778731435039351,1.0353774583839146,0.2686693195938852,0.006882481077395308,0.0,1.5035965082478768,1.4987703439952307,0.9430286645632524,0.794578199210918,1.1368123813979563,0.49019389115307055,0.38300747002507807,0.2576873177964334,0.6678092940895097,0.04277314446657732,0.7009321571190457,0.0,0.617569175395102,1.0307929073456878,0.6028216401554549,0.7525737486517743,0.4476764044468027,0.6047636294455683,0.6828814130614735,0.018790207690790872,0.47254101801187165,0.5448355929294064,0.41933913434582637,0.5594199686953849,0.9493112489627573
OXO-5FIC618D Augusta,0.14531462900355718,0.0860928879918137,0.06724700994524824,0.01769566870501693,0.0343662920777521,0.0278738156282472,0.0,0.0,0.0,0.0,0.21752405960754917,0.1346880302447544,0.0,0.0,0.015055103085482191,0.2362536837745144,0.20910479969560614,3.3440441843062887,0.02403428571456301,0.17550932857431922,0.12309845348410464,0.0070551010285635485,0.0,0.03925388408455888,0.17400113853077048,0.0,0.0,0.0,0.09107544434056702,0.09913092440549187,0.0,0.17051838276481623,0.223453284997571,0.08486351435759909,0.0666137372508846,0.0,0.08924767578646975,0.0,0.0,0.0546559253411667,0.0,0.0,0.0,0.043007999027042665,0.15471292647826873,0.05464110377769282,0.06852152150742752,0.019899451169394844,0.10636955317992358,0.04887775730655397,0.15278977545841554,0.018638596401740593,0.06838255141152327,0.0,0.06564183775590537,0.19404196658625184
OXO-5FIC622A Augusta,0.013981620924228277,0.07967750791162254,0.09308310390628716,0.10686123033307648,0.07368455757175063,0.04954582256101925,0.0176633172052707,0.2571092894108964,0.0,0.025439802365185393,0.03384791705030943,0.23807968983196592,0.22460208735871046,0.10227069585010429,0.206395867615494,0.06942044437966954,0.09768078321732854,0.026996187204535227,2.3256981436081774,0.0532394176898805,0.06922247492863343,0.12682079714594519,0.08787316509733412,0.11483654366825857,0.04248217348165273,0.0437436773196449,0.0,0.02257819368521652,0.13292463656992215,0.01314003116410567,0.022810760037043742,0.17514006941413962,0.22511397792959054,0.17333242847694175,0.07755091604688147,0.16348012360444542,0.0,0.09176216372433821,0.1561690152410704,0.16643617211568773,0.0,0.06947618642331133,0.0,0.08409753817353449,0.0664003757321614,0.04951755128436597,0.10474352182859792,0.02242133228604759,0.0555026336492459,0.08241238184686384,0.0,0.015567098033621551,0.05309156097637224,0.07115402396497328,0.07204541296458955,0.03688132308872616
OXO-5FIC622B Augusta,0.3560856565387347,0.8231082784507837,0.5282079609712449,0.4168961386524286,0.5173406991649991,0.6404080146726252,0.0,0.10307326369746406,0.0,0.0,0.6152310475487099,0.21725159572060004,0.1362433307772548,0.9208109517881149,0.7550399106701442,0.7390140919540791,0.8612358692952569,0.17550932857431922,0.05189567432814668,3.344044184306288,0.62929644212509,0.25215797241853144,0.13443746183243288,0.8536507673223968,1.0632223377621726,0.6597242152110852,0.04844776901566128,1.0780583637097756,0.15362185732062716,0.0915059003581784,0.0,1.2815033038371952,1.240905192198704,1.2757131430046744,0.9063021184387323,1.0334184985594241,0.745523740340098,0.29810949378677565,0.3546959700443475,0.589527645746069,0.08339642620979637,0.7677877012488836,0.0,0.5871321704121608,0.6143236581026197,0.32979985144144397,0.7320327248954146,0.2869834892036258,0.56262264803255,0.6436122110248519,0.0,0.7950700365039154,0.725806638131012,0.8198923061676893,0.793769830470314,0.6906800915946474
