,OXO-5FI635C Augusta,OXO-5FI661A Augusta,OXO-5FI696 Augusta,OXO-5FIC132 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC602 Augusta,OXO-5FIC603 Augusta,OXO-5FIC606C Augusta,OXO-5FIC607 Augusta,OXO-5FIC609A Augusta,OXO-5FIC609B Augusta,OXO-5FIC611A Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5FIC618A Augusta,OXO-5FIC618B Augusta,OXO-5FIC618C Augusta,OXO-5FIC618D Augusta,OXO-5FIC622A Augusta,OXO-5FIC622B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636A Augusta,OXO-5FIC636B Augusta,OXO-5FIC636C Augusta,OXO-5FQI691B Augusta,OXO-5LI633B Augusta,OXO-5LI650F Augusta,OXO-5LI651E Augusta,OXO-5LI651F Augusta,OXO-5LI652E Augusta,OXO-5LI652F Augusta,OXO-5LI653E Augusta,OXO-5LI653F Augusta,OXO-5LI654E Augusta,OXO-5LI655F Augusta,OXO-5LI656F Augusta,OXO-5LI657E Augusta,OXO-5LI657F Augusta,OXO-5LI658E Augusta,OXO-5LI658F Augusta,OXO-5PIC605A Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC002 Augusta,OXO-5TIC601 Augusta,OXO-5TIC602 Augusta,OXO-5TIC603 Augusta,OXO-5TIC604 Augusta,OXO-5TIC605 Augusta,OXO-5TIC606 Augusta,OXO-5TIC607 Augusta,OXO-5TIC659 Augusta,OXO-_5FI658A Augusta,OXO-_5FI659A Augusta,OXO-_5FI660A Augusta,OXO-_5FI662A Augusta
OXO-5FIC609A Augusta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009303489127270748,0.001035627086687585,0.050897599226244594,0.0,0.0,0.0,0.0033115417785978263,0.0,0.0,0.0,0.0,0.0,0.05943407081331786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02210020028875581,0.0,0.0,0.0,0.103424191664514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXO-5FIC609B Augusta,0.20645914154909129,0.5205322415309972,0.7279297731220757,0.4387805824616753,0.4218085270566383,0.48707873372801114,0.3403278582285538,0.0,0.1666475773946936,0.0,0.0,3.3440441843062887,0.2367936941820683,0.022414979246429656,0.765839692610808,0.5968768902041313,0.8942492008513443,0.7820118204981616,0.21752405960754917,0.035736012706986564,0.6152310475487099,0.44069292043583896,0.0692744639484939,0.11232754199782802,0.8629716111081649,0.8359018397119797,0.47584057245406397,0.0,1.0203642088678966,0.3529843725201811,0.04415243609076658,0.0,1.1596980478131056,1.1977802423552362,0.697815079930602,0.7103909781762554,1.0490208863994233,0.4018110287044516,0.3636048283116988,0.3217420996040916,0.6147592919347855,0.05588238157086467,0.8299792316805492,0.0,0.42742594977637616,0.8468744031513067,0.5673296534427794,0.6100394207874338,0.36073591192094856,0.509482830004715,0.6057609093303009,0.0,0.5370542672776821,0.536289133376715,0.5228690127823961,0.4011937115834998
OXO-5FIC611A Augusta,0.03278880521147398,0.07960681837559047,0.19454262071861894,0.13095984430607466,0.3030130912727427,0.17198843696586952,0.08283208093490524,0.0,0.9276625554787148,0.0,0.0,0.2367936941820683,3.344044184306288,0.5645045417460501,0.048954260501961055,0.2205719444001275,0.275892984982272,0.2813871260562295,0.1346880302447544,0.2380796898319657,0.21725159572060004,0.14884857921985484,0.09770808969285882,0.12721214472678266,0.31687506797750764,0.24125645965417952,0.13952096647653311,0.0,0.2163451593223118,0.882081292376347,0.14843490449073116,0.0,0.4502260155049891,0.42508355910842566,0.21019056229356137,0.5371361084353068,0.29868160040448233,0.22914905256315343,0.8275454788793861,0.7015223994228412,0.687529473043877,0.0028594939287751586,0.13403840669123301,0.0,0.033663584923738554,0.3555784463369842,0.13245469793457998,0.17922239690301023,0.09979306854853087,0.1035976879856344,0.30653779570363104,0.0348837039250407,0.08810339981416782,0.15548244831889368,0.09843249375389673,0.09211987038391811
OXO-5FIC612A Augusta,0.0,0.1252538461825803,0.1292212680707121,0.21338203907890296,0.08479744499523978,0.10243841458226477,0.04828937282654344,0.0,0.4216300518710798,0.024914890997908223,0.0,0.0076398823030863205,0.568190710071669,2.4860410932710755,0.2059003568763509,0.21365714988566653,0.0,0.11946085834989173,0.0,0.20470195891399712,0.1416278940995097,0.06643489079716192,0.2913581829674432,0.17721735303592823,0.2603433400914481,0.22042612613471269,0.08343227982612289,0.0,0.2546406724268988,0.44157921398596134,0.08468571244686673,0.0,0.3145500847810041,0.30333040704289926,0.27660127122638745,0.16291122714174922,0.1980177167162145,0.15799555094809659,0.10655880288171904,0.37225722000918493,0.21048127072387146,0.0,0.0633545052691038,0.012726268078811831,0.023557453816506868,0.37749716399580535,0.12723090217365618,0.2478457434109309,0.12911984478262184,0.02655895913532369,0.13054561163499656,0.044412204465746896,0.052616578476359255,0.18045933980386808,0.11841285523007317,0.15233080031047974
OXO-5FIC612B Augusta,0.48898253519271107,0.8321749501708193,0.8275131305819077,0.6546623582665525,0.5233625703959857,0.7626538359187749,0.7218670664027198,0.0,0.11238654697843264,0.0,0.0,0.765839692610808,0.048954260501961055,0.2236546596253719,3.344044184306288,0.7589017649482264,0.8635049248402824,0.8568351987590872,0.0,0.10414260314246215,0.9208109517881149,0.6324366250211557,0.2887543954247964,0.18260771122259456,0.9155518142827574,1.2011466863694933,0.6202572407685705,0.014521753525009728,1.1500630006788057,0.15544439773057217,0.019445659028562545,0.0,1.2563990163097862,1.2424274254116634,1.1345654037468726,0.749717615954294,1.1550999413640746,0.5575312770122709,0.32676216663778535,0.28575180622961405,0.5830249504100289,0.0835275358889116,1.4764469434289609,0.07850148474764129,0.6797625475982718,0.847833764420336,0.6572866060279039,0.8856791834933597,0.5145627419367345,0.7505303423691321,0.7176565283876439,0.028129638265978585,0.8624122668263756,0.7763087556345842,0.8734369075333932,0.7796521974203126
OXO-5FIC618A Augusta,0.16271718989399053,0.5641734730713073,0.786673725837657,0.6093220671861861,0.45295194838991515,0.25199769985443865,0.7096733857531814,0.0,0.17496387449042627,0.0,0.0,0.5968768902041313,0.2205719444001275,0.22614154439128997,0.7589017649482264,3.3440441843062887,1.169170944200344,1.26270715346809,0.015055103085482191,0.2060666855509674,0.7550399106701442,0.34194330839381726,0.20552299949656794,0.11694202648876972,0.9511283465198721,0.8988823845301872,0.2583856648437681,0.02061895709084549,0.8364769432391264,0.2129355459719724,0.0,0.0,1.0246624221933267,1.1289937557889869,0.8674243710492457,0.5424146430327217,0.8581574250233266,0.3869133259197879,0.23098199384601248,0.3964157022554331,0.6354811935407922,0.019545844180864247,0.6092059314547482,0.014442476154504558,0.1979611634720566,0.5715575749653343,0.42535518038726705,0.5485999912188206,0.2878221502773872,0.36524437483090777,0.5214838641293698,0.0,0.4106284780266627,0.4612280277845522,0.5058594984061049,0.4536282571647985
OXO-5FIC618B Augusta,0.5126410409686764,0.6035944894307028,1.0889993102150628,0.5389375533593381,0.4777091351279421,0.5437235143837023,0.6354590903109281,0.0,0.33739862003458754,0.0,0.0,0.8942492008513443,0.275892984982272,0.0,0.8635049248402824,1.169170944200344,3.3440441843062887,1.3615728953020798,0.2362536837745144,0.07259087446942081,0.7390140919540791,0.7025410653382131,0.20799206441587126,0.24298477505858873,1.1114021247974946,1.205568192276162,0.3803917221594997,9.199632932421764e-05,0.9844714188756587,0.39972749900540316,0.026953669558740234,0.0,1.267410281118103,1.3058294373892994,1.1724984843840716,1.0577991254979702,1.0550740706267292,0.5216525915905788,0.3824372384172503,0.24355466457504527,0.6431165889617851,0.0,0.8499062488535136,0.0,0.5817996950093298,1.0427061235295838,0.7542619844018872,0.7678806331903876,0.5331218938535507,0.5536327114785826,0.7527162016976678,0.02148593834003165,0.5342174926986609,0.5649856541868625,0.47762314075501555,0.5530511142237584
OXO-5FIC618C Augusta,0.48578162498192157,0.6043902657477802,0.9493112489627573,0.4297514128223985,0.446210841407916,0.5762062706939797,0.9240679770775309,0.0,0.28526951001058976,0.0,0.0,0.7820118204981616,0.2813871260562295,0.13098884936989563,0.8568351987590872,1.26270715346809,1.3615728953020798,3.3440441843062887,0.20910479969560614,0.0911435892746999,0.8612358692952569,0.794588678990563,0.15571271185233915,0.11045662137832313,1.1236008654415546,1.2263214588381137,0.5090853419893668,0.034426203239283026,1.0353774583839146,0.2686693195938852,0.006882481077395308,0.0,1.5035965082478768,1.4987703439952307,0.9430286645632524,0.794578199210918,1.1368123813979563,0.4916224625816419,0.38300747002507807,0.2574889050980209,0.6678092940895097,0.04277314446657732,0.7009321571190457,0.0,0.617569175395102,1.0307929073456878,0.6028216401554549,0.7525737486517743,0.4476764044468027,0.6047636294455683,0.6828814130614735,0.018790207690790872,0.47254101801187165,0.5448355929294064,0.41933913434582637,0.5594199686953849
OXO-5FIC618D Augusta,0.14531462900355718,0.0860928879918137,0.19404196658625184,0.06724700994524824,0.01769566870501693,0.0343662920777521,0.0278738156282472,0.0,0.0,0.0,0.0,0.21752405960754917,0.1346880302447544,0.0,0.0,0.015055103085482191,0.2362536837745144,0.20910479969560614,3.3440441843062887,0.029257202027319185,0.17550932857431922,0.12309845348410464,0.0031032918327142944,0.0,0.03925388408455888,0.15334452236007667,0.0,0.0,0.0,0.09107544434056702,0.09913092440549187,0.0,0.17051838276481623,0.223453284997571,0.08486351435759909,0.0666137372508846,0.0,0.08924767578646975,0.0,0.0,0.0546559253411667,0.0,0.0,0.0,0.043007999027042665,0.15471292647826873,0.05464110377769282,0.06852152150742752,0.019899451169394844,0.10636955317992358,0.04887775730655397,0.15278977545841554,0.018638596401740593,0.06838255141152327,0.0,0.06564183775590537
OXO-5FIC622A Augusta,0.014159535736326223,0.08117862025648459,0.032257354598915544,0.09208375421528636,0.10723364412617986,0.0646519324935535,0.05029478998766512,0.05179841074001601,0.2596185283053445,0.011311611128756116,0.008572518949913288,0.034668258514401584,0.23807968983196592,0.2182226137847585,0.10233995850689648,0.20638299703473995,0.08300497300297405,0.09615657830173041,0.02732784213941275,2.2637345302692506,0.05069236786625497,0.07846051012228883,0.15292760886102674,0.04324580484816165,0.1054983972089183,0.05192923595526189,0.1406393719503325,0.05115455112326828,0.023807779062476442,0.13414750844769863,0.010782317309744327,0.007840329889816644,0.18158364429163365,0.2240548765331245,0.17220997793908044,0.07324475939955333,0.16046148068169308,0.0,0.09176216372433821,0.16522191627990424,0.1603356129830844,0.0,0.07197179819686106,0.0,0.08559851055528211,0.06294102705359061,0.054877134373021885,0.1058836689959366,0.02623736879547467,0.057608477898329236,0.08241238184686384,0.0,0.022912792714449903,0.053508281237053534,0.0731776604036194,0.07402290638668085
