Date,HPBH:221F003 Stanlow,HPBH:221F004 Stanlow,HPBH:221F008 Stanlow,HPBH:221F011 Stanlow,HPBH:221FT009 Stanlow,HPBH:221Q004 Stanlow,HPBH:221QT004 Stanlow,HPBH:221T017 Stanlow,HPBH:221T028 Stanlow,HPBH:221T034 Stanlow,HPBH:221T035 Stanlow,HPBH:221T036 Stanlow,HPBH:221T044 Stanlow,HPBH:221TT031 Stanlow,HPBH:221TT032 Stanlow,HPBH:221U829 Stanlow
2018-03-29 13:00:00,712.3130672413793,-195.05965111111112,70.70838133333334,,,,,398.8373,,,,,12.112357,,,0.0546136333333333
2018-03-29 14:00:00,1450.4215689655175,-193.82228913043477,120.54485314285714,0.0,,-0.25,,398.823,,10.88603,11.10905,,13.2418956,,,
2018-03-29 15:00:00,1520.8516896551728,-196.5417764705883,125.5239612903226,0.002436675,,,,398.8223,,,,,13.426692363636365,11.54495,,
2018-03-29 16:00:00,1527.8134655172412,-194.4393476190476,126.0442314285714,0.01681255,,,,398.8384,10.54426,,,,14.806488333333334,,,
2018-03-29 17:00:00,1535.0869137931036,-194.7989396551724,126.09849310344828,0.0,,,,398.838,,,,,14.850136,,,
2018-03-29 18:00:00,1540.5432931034486,-196.88110625,126.14815666666662,,0.0,,-0.25,398.8208,,9.537108,,,14.790135,,10.25125,
2018-03-29 19:00:00,1539.4693103448276,-197.33717454545456,126.32436756756752,,,,,398.8262,,,,,14.440635,,,
2018-03-29 20:00:00,1536.523310344828,-196.78977719298248,126.13238888888884,,,,,398.8288,,,,9.608104,12.303503333333332,8.985658,,
2018-03-29 21:00:00,1536.0734482758617,-195.42916481481487,126.05305172413792,,,,,398.8364,,,9.606059,,10.458342,,,0.0
2018-03-29 22:00:00,1540.4195344827583,-195.500541509434,125.97053870967744,,,,,398.8208,,,,,9.5461375,,,
2018-03-29 23:00:00,1540.3709137931032,-198.41973170731703,126.03812068965516,,,-0.25,,398.8208,,,,,9.379169,,,
2018-03-30 00:00:00,1538.739310344827,-197.120225,125.83512173913044,,,,,398.8228,8.485826,7.222643,,,9.059378,,,
2018-03-30 01:00:00,1537.2162758620689,-194.40704200000005,125.77300277777776,0.0,,,-0.25,398.8226,,,,,9.147108,,,
2018-03-30 02:00:00,1537.353448275862,-193.2868428571428,125.68796470588237,,0.0,,,398.8208,,,,,9.073524,,6.960727,
2018-03-30 03:00:00,1541.554189655173,-193.6858714285715,125.80296388888888,,,,,398.8208,,,,,8.858448,,,
2018-03-30 04:00:00,1546.8620689655174,-195.43076756756756,125.63721025641024,,,,,398.821,,,,7.653358,8.615068,6.937284,,
2018-03-30 05:00:00,1540.5549137931037,-192.8805571428572,125.86426363636365,,,,,398.8218,,,7.907026,,8.094343,,,0.0
2018-03-30 06:00:00,1538.3291111111112,-192.97296666666665,125.90925,0.0,0.0,-0.25,-0.25,398.82385,7.6456435,6.517417999999999,7.64564,7.139824,7.873604333333334,6.574014,6.251996,0.0
2018-03-30 07:00:00,1545.5796037735845,-191.88531372549016,126.01295,,,,,398.8237,,,,,7.774555,,,
2018-03-30 08:00:00,1540.211896551724,-195.88397352941172,126.0792896551724,,,,,398.826,,,,,7.969826,,,
2018-03-30 09:00:00,1832.116810344828,-195.1835862068965,148.66926444444445,,,,,398.8284,8.653852,,8.527826,8.24972,8.58393525,,,
2018-03-30 10:00:00,1883.793275862069,-194.00370862068968,148.70866862745095,,,3.7584594524769233,1.59577597644,398.8232,10.83832,,,,10.38665,,,
2018-03-30 11:00:00,1848.217362068966,-191.3383807017544,144.33667173913048,,,4.73695175609756,3.1350348400000003,398.8208,,,,,11.28093,,,
2018-03-30 12:00:00,1743.9612758620692,-191.78066875000005,129.62322857142863,,,5.248687625000001,,398.8384,43.823758,,23.672055,23.58955,15.647504782608696,,,
2018-03-30 13:00:00,1705.389,-195.824768627451,122.91090217391306,,,5.248947666666669,,398.8336,139.03284000000002,,66.62155,66.09713,16.333339000000002,,,
2018-03-30 14:00:00,1735.6778103448266,-198.4169535714286,121.82154199999997,0.0,0.0,5.2489740000000005,,398.832,204.15305,11.8989,107.725,110.17845,16.911224999999998,8.685666,7.922573,0.0
2018-03-30 15:00:00,1765.6378620689652,-126.4525666666667,120.85377333333332,,,5.249309250000001,,398.8384,238.11522,,140.758,143.4921,16.195996923076926,,,
2018-03-30 16:00:00,1773.4014999999995,100.27474871794873,119.88518200000004,0.0,,5.249459461538462,,408.9660340909091,268.37846,,,162.70825,14.860236923076924,,,
2018-03-30 17:00:00,1765.7562241379308,354.20960232558133,118.43295227272723,0.01075102,1029.9948095238094,5.2494158,,475.7922586206896,303.39338888888886,,171.8241,177.3606,14.81741090909091,,,
2018-03-30 18:00:00,1741.6311896551724,1075.189389655172,117.81647924528296,0.0,1351.1563529411762,5.249412296296298,,527.3934339285714,329.3502666666667,14.09504,169.44545,175.9608,14.190178888888887,,,
2018-03-30 19:00:00,1739.5597413793105,1178.8042241379314,117.41226666666664,0.000889782,1407.5101454545456,5.249415800000001,5.249605,524.5120981481483,338.32616666666667,,,169.0032,12.84713523809524,10.75748,,
2018-03-30 20:00:00,1741.0811724137927,1175.3557586206896,117.92890416666664,0.0,1374.4235471698116,5.2494394500000015,,524.8836468085107,342.83515,,161.9305,165.0937,13.018554000000004,,9.998127,
2018-03-30 21:00:00,1739.7089482758622,1188.5205344827584,117.99478399999995,,1378.4836851851855,5.249390000000002,,516.4188175438594,346.25890000000004,11.59599,,,13.011349090909093,,,0.0
2018-03-30 22:00:00,1740.7375,1173.830189655172,118.51901702127662,,1369.3626428571429,5.249447333333333,,524.5612363636363,349.32550000000003,,,,12.798618571428571,,,
2018-03-30 23:00:00,1740.9644310344825,1116.6783103448277,117.42885849056606,,1323.4722692307694,5.24941991304348,,524.6858056603774,,,,,12.22702153846154,,,
2018-03-31 00:00:00,1745.8952241379309,1097.437844827586,119.21676666666664,,1310.978611111111,5.249427625000001,,525.1308833333335,354.49265,,147.528,156.181375,11.680329130434782,,,
2018-03-31 01:00:00,1751.9526206896553,1098.0878965517238,121.43698222222224,,1308.9861372549017,5.249376096774196,,524.6469431372549,,,140.73842000000002,151.31935,11.138658181818183,,,
2018-03-31 02:00:00,1740.5776551724143,1080.5144137931034,122.67882553191484,,1296.0289591836734,5.248974000000001,5.249605,519.100505882353,359.90483333333333,9.016472,118.2704,135.53577142857145,10.654392608695654,,,
2018-03-31 03:00:00,1751.240431034483,1092.967,121.15752,,1308.5804081632657,5.248959636363637,,525.0741704545454,360.1428,,139.116175,149.223775,10.67023551724138,6.29043,6.986033,
2018-03-31 04:00:00,1732.5020344827583,1094.926844827586,117.5844469387755,0.0,1310.4419056603772,5.248961360000002,,524.8611264150944,,,133.3084,144.94979999999998,10.559515833333334,,,0.0
2018-03-31 05:00:00,1745.3961206896558,1092.765482758621,121.42274897959184,,1308.66704,5.248913230769231,,525.0767647058823,,,134.6154,,10.570977266666668,,,
2018-03-31 06:00:00,1738.6096034482753,1100.6254310344827,119.09516111111108,,1310.691740000001,5.248928857142857,,521.3045212765958,362.0753,,136.7065,147.38495,11.508461999999998,,,
2018-03-31 07:00:00,1721.9603448275866,1094.2807586206895,116.0109625,,1311.164081632653,5.248974000000001,,525.0974666666665,,,131.81633333333332,143.3098,12.17273375,,,
2018-03-31 08:00:00,1746.7556379310342,1101.04224137931,120.08528727272729,,1308.6841020408162,5.248932421052633,,517.8454509433963,363.2935,,135.4322,146.1094,11.18643260869565,,,
2018-03-31 09:00:00,1736.6043620689647,1101.2059827586206,117.63230434782608,,1310.5094374999996,5.248957368421054,5.248658,520.4180488372094,,,,147.1365,11.662036666666664,,,
2018-03-31 10:00:00,1728.7217241379312,1102.1333275862062,115.58398076923078,,1306.9755199999995,5.248982315789475,,519.9173055555556,,8.973874,,,12.295957619047618,5.334209,6.17606,
2018-03-31 11:00:00,1746.2288448275865,1095.4642068965518,118.93634199999995,,1303.0283260869562,5.248947666666669,,519.9458840909091,364.0917,,135.21985,146.0597,11.7876132,,,
2018-03-31 12:00:00,1729.393982758621,1099.2197241379308,116.55597999999998,0.0,1303.2672156862748,5.2489740000000005,,519.9543659090909,362.7894,,134.4193,146.05975,12.708329523809525,,,0.0
2018-03-31 13:00:00,1755.209206896552,868.5494396551723,121.31911111111113,,1118.2036074074074,5.248962714285716,,515.4170056603774,364.3437,,137.752,148.9256,13.074344285714284,,,
2018-03-31 14:00:00,1807.7535172413795,-23.04577735849057,119.71024166666666,,766.92761,5.248947666666669,,466.8648086956522,329.32624285714286,,142.78379,151.39572222222225,11.202947333333334,,,
2018-03-31 15:00:00,1797.8826551724137,-132.79100000000005,118.0412644444444,,,5.248962714285716,,398.8384,253.4821,10.95229,,128.5829,8.609406333333332,,,
2018-03-31 16:00:00,1788.5476666666664,-182.879325,119.54811818181815,0.0,0.0,5.248996571428571,5.249132,398.83786666666657,214.602775,10.671857500000002,122.10139999999998,123.6629,8.139627,6.840412333333333,6.201375,0.0
2018-03-31 17:00:00,1782.5953207547168,427.23068,120.47131142857144,,,5.248967923076925,,398.8384,,,100.9942,103.4031,7.766064,,,
2018-03-31 18:00:00,1783.605931034483,,121.07008095238096,,,5.248966100000002,,398.8315,159.0039,,,,7.3387335,,,
2018-03-31 19:00:00,1774.6261379310342,69.72602697560976,121.82227631578948,,,5.24886866666667,,398.8384,132.4963,,79.65833,80.7412,7.030266,,,
2018-03-31 20:00:00,1763.7891034482757,,122.47320833333336,,,5.248500000000001,,398.8312,,,72.47014,70.66926,6.8180125,,,
2018-03-31 21:00:00,1757.864655172414,,123.0026175,,,5.248454857142858,,398.8342,100.9055,,,,6.625573,,,
2018-03-31 22:00:00,1748.8244310344824,,123.8979619047619,,,5.2485,,398.8375,86.11839,,,,6.571804,,,
2018-03-31 23:00:00,1742.7508793103452,,124.5169565217391,,,5.248468400000001,,398.8382,,,47.3441,46.41709,6.7246235,,,
2018-04-01 00:00:00,1741.2693448275857,,125.01527692307695,0.0,0.0,5.248492100000001,5.248184,398.8382,65.07189,7.785878,,,,6.552921,6.581047,0.0
2018-04-01 01:00:00,1737.6026206896552,,125.577618,,,5.248468400000001,,398.8384,55.45184,,32.37958,32.43563,6.526522,,,
2018-04-01 02:00:00,1703.8820172413791,,125.44321395348835,,,5.24844075,,,43.10121,,11.607316,11.503223599999998,6.458605,,,
2018-04-01 03:00:00,1707.867948275862,-200.0,125.9711761904762,,,5.248111346153845,,,,,8.495157,,6.158623,,,
2018-04-01 04:00:00,1711.686293103449,,126.3804076923077,,,5.247994799999999,,398.8384,,,,,5.524702,,,
2018-04-01 05:00:00,1722.6474827586212,,127.37371063829784,,,5.248006624999998,,398.8331,22.30676,,,,4.817201,,,
2018-04-01 06:00:00,1725.8386379310343,,128.03660789473682,,,5.248003809523808,,398.8373,14.99721,,,5.831127,,,,
2018-04-01 07:00:00,1729.4410350877192,,128.2084736842105,0.0,0.0,5.248012000000002,5.248184,398.836,,6.134041,5.848588,,4.4408105,5.193588,5.922945,0.0
2018-04-01 08:00:00,1729.7950701754382,-199.5572,128.16039999999998,,,5.248020269230768,,398.8362,,,,,4.473826666666667,,,
2018-04-01 09:00:00,1723.9657368421056,-199.4250108695652,128.15701136363631,,,5.248026333333333,,398.8342,,,,,5.465271,,,
2018-04-01 10:00:00,1724.1481724137934,-199.75246,128.10056666666665,,,5.248065812499999,,398.8384,,,,,6.798203,,,
2018-04-01 11:00:00,1724.7784310344823,,127.95346904761902,,,5.248072764705882,,,11.09037,,,,7.294396666666667,,,
2018-04-01 12:00:00,1720.6772413793103,-199.4586,127.24642000000004,,,5.248199483870969,,,,,,,7.686823999999999,,,
2018-04-01 13:00:00,1718.5386206896558,-198.8668810810811,127.4367425,,,5.248375680851067,,,,,,8.912348,8.639593,,,
2018-04-01 14:00:00,1720.73398275862,-198.4521475,127.26237333333334,,,5.2484684,,,,,,,10.1729845,6.707604,,
2018-04-01 15:00:00,1717.0382413793104,-198.59814347826088,127.570334,0.0,0.0,5.248464090909092,5.248658,,,9.38565,9.115957,,10.367406,,7.264463,0.0
2018-04-01 16:00:00,1719.741827586207,-198.80403846153845,127.12983513513512,,,5.248457461538463,,,,,,,10.587014,,,
2018-04-01 17:00:00,1720.2831379310344,-198.28745087719292,127.42622916666664,,,5.248437964285715,,398.8384,,,,,12.094555,,,
2018-04-01 18:00:00,1721.6448620689653,-198.05663018867924,127.53843181818176,,,5.248480250000001,,398.8369,10.62828,,,,12.275206666666667,,,
2018-04-01 19:00:00,1723.941827586207,-198.85345689655176,127.19507872340424,,,5.248313409090908,,398.8384,,,,,11.634114,,,
2018-04-01 20:00:00,1726.906103448276,-197.60970344827587,128.13826808510635,,,5.24825996,,398.8384,,,,8.879219,12.230395,,,
