,TotalCostUSD,Mode,ProgressType,Type,StateType,LoadingPosition,Plan,ShipmentType,EquipmentLength,EquipmentWidth,EquipmentHeight,MinTemp,MaxTemp,TotalValue,Miles,TotalWeight,Tarps,Repeat,TankerUnload,TankerVolume,TankerVolumeUnit,NumStops,TotalPallets,LoadCommodityMasterLinkID,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,TotalRateUSD,CommodityID,TimeTravel,TimeNegotiate,LoadDate-Month,LoadDate-Day,DelDate-Month,DelDate-Day,CreateDate-Month,CreateDate-Day,Volume_Last_30,Avg_Cost_Last_30,Avg_Rate_Last_30,NTIBooked,NTIAssumed,TenderVolume,S/D Ratio,Avg_Weight_Last_14,Avg_Dist_Last_14,USD/Mile,Avg_Cost_Last_14,Avg_Rate_Last_14,Cost_Volatility_Last_14,Rate_Volatility_Last_14,TRUCKD11,DJTA,DTB3,GASREGW,IPG2122N,IPG3361T3S,GDP,PPIACO,BUSINV,PCU48414841
866,1000.0,1,8,1,1,2,0,0,53,0,0,-9999,-9999,100000.0,271,44844,0,0,0,0,1,2,0,2,33.94,-118.132,36.176,-115.16,1254.47,0,1,4,12,20,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
867,6016.4,1,8,1,1,2,0,6,53,0,0,-9999,-9999,100000.0,2222,0,3,28215443,0,0,1,4,0,1,19.297,-99.634,35.48,-79.181,6550.0,0,15,4,12,20,1,4,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
868,1067.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,363,44000,0,28300672,0,0,1,2,0,1,33.796,-84.662,30.332,-81.656,1200.0,0,1,12,12,28,12,29,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
869,150.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,299,40000,0,28292239,0,0,1,3,0,1,41.397,-73.617,41.397,-73.617,150.0,0,0,5,12,21,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
870,1500.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,770,41170,0,0,0,0,1,2,0,2,40.201,-74.63,34.145,-83.966,1750.0,0,2,3,12,19,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
871,3300.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,1300,25000,0,0,0,0,1,5,0,1,40.517,-75.778,28.546,-81.378,3650.0,0,3,3,12,19,12,22,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
872,171.0,2,8,2,1,2,0,2,53,0,0,-9999,-9999,100000.0,717,941,0,0,0,0,1,2,88,2,35.706,-81.221,34.759,-92.236,174.5,0,5,0,12,16,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
873,1250.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,490,30000,0,28299029,0,0,1,2,0,1,39.171,-94.633,33.085,-96.669,1400.0,0,1,4,12,20,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
874,2600.0,1,8,1,1,2,0,0,53,0,0,-10,-10,100000.0,1428,43500,0,0,0,0,1,2,0,2,49.777,-112.131,33.874,-117.993,3130.0,0,2,12,12,28,12,30,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
875,1362.5,1,8,1,1,2,0,0,53,0,0,-9999,-9999,100000.0,374,42998,0,0,0,0,1,2,0,8,34.079,-117.307,37.74,-121.425,1405.12,0,2,5,12,21,12,23,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
